Brand,Model,SubFolder,Url,Filename
Mennekes,AMTRON Professional+ PnC 22,Chargers\AC Chargers\Mennekes,https://media.mennekes.org/1367402_en_53674_originaldatei.pdf,Mennekes_AmtronProfessionalPlusPnC22_datasheet.pdf
Mennekes,"AMTRON Professional E 7,4/22",Chargers\AC Chargers\Mennekes,https://www.mennekes.org/fileadmin/products_media/medien_sge2/produktdatenblaetter/20231107/1374402_en.pdf,Mennekes_AmtronProfessionalE_datasheet.pdf
Mennekes,"AMTRON Professional+ E 7,4/22",Chargers\AC Chargers\Mennekes,https://www.mennekes.org/fileadmin/products_media/medien_sge2/produktdatenblaetter/20231107/1376201_en.pdf,Mennekes_AmtronProfessionalPlusE_datasheet.pdf
Mennekes,AMTRON Professional TC 22 (Twincharge),Chargers\AC Chargers\Mennekes,https://www.mennekes.org/fileadmin/products_media/medien_sge2/produktdatenblaetter/20240328/151602402_en.pdf,Mennekes_AmtronProfessionalTwincharge22_datasheet.pdf
Mennekes,AMEDIO Professional 22 T2S,Chargers\AC Chargers\Mennekes,https://www.mennekes.org/fileadmin/products_media/medien_sge2/produktdatenblaetter/20241008/140602612_en.pdf,Mennekes_AmedioProfessional22_datasheet.pdf
Mennekes,AMEDIO Professional+ PnC 22,Chargers\AC Chargers\Mennekes,https://media.mennekes.org/140822412_de_53646_originaldatei.pdf,Mennekes_AmedioProfessionalPlusPnC22_datasheet_DE.pdf
Mennekes,AMTRON Compact 2.0 / 2.0s,Chargers\AC Chargers\Mennekes,https://www.mennekes.org/fileadmin/MEN-Deutschland/emobility/01_documents/02_products/br_amtron_compact_2.0_2.0s_en_0922.pdf,Mennekes_AmtronCompact_brochure.pdf
Mennekes,AMTRON Premium E (legacy),Chargers\AC Chargers\Mennekes,https://media.mennekes.org/1355451_en_53749_originaldatei.pdf,Mennekes_AmtronPremiumE_datasheet_LEGACY.pdf
Mennekes,AMTRON Basic E (legacy),Chargers\AC Chargers\Mennekes,https://media.mennekes.org/1353203_en_53727_originaldatei.pdf,Mennekes_AmtronBasicE_datasheet_LEGACY.pdf
Schneider Electric,EVlink Pro AC (full URL),Chargers\AC Chargers\Schneider Electric,https://download.schneider-electric.com/files?p_Doc_Ref=EVB3ACDS01&p_File_name=998-22626503_EVlink+Pro+AC_GMA_Data+sheet_QA2.pdf,SchneiderElectric_EVlinkProAC_datasheet.pdf
Tesla,Wall Connector Gen 3 (standard),Chargers\AC Chargers\Tesla,https://www.tesla.com/sites/default/files/charging_docs/Tesla_Wall_Connector_Datasheet_EN.pdf,Tesla_WallConnectorGen3_Standard_datasheet.pdf
Tesla,Wall Connector Gen 3 MID - Declaration of Conformity,Chargers\AC Chargers\Tesla,https://energylibrary.tesla.com/docs/Public/Charging/WallConnector/Gen3/DoC/DoC-MID-manufacture-Wall-Connector-Gen-3-EN.pdf,Tesla_WallConnector3MID_DeclarationOfConformity.pdf
Wallbox,Pulsar Max,Chargers\AC Chargers\Wallbox,https://support.wallbox.com/wp-content/uploads/ht_kb/2025/06/Wallbox_Datasheet_PulsarMax_Tethered_Socket_EN_b.pdf,Wallbox_PulsarMax_datasheet.pdf
Wallbox,Pulsar Pro,Chargers\AC Chargers\Wallbox,https://support.wallbox.com/wp-content/uploads/ht_kb/2025/06/Wallbox_Datasheet_PulsarPro_Shutter_Tethered_EN_b.pdf,Wallbox_PulsarPro_datasheet.pdf
Wallbox,Copper SB,Chargers\AC Chargers\Wallbox,https://support.wallbox.com/wp-content/uploads/2022/11/EN_CopperSB_Datasheet_English.pdf,Wallbox_CopperSB_datasheet.pdf
Wallbox,Commander 2,Chargers\AC Chargers\Wallbox,https://support.wallbox.com/wp-content/uploads/ht_kb/2024/02/EN_MASTER_DS_Commander-2_20240201.pdf,Wallbox_Commander2_datasheet.pdf
Wallbox,Commander 2S,Chargers\AC Chargers\Wallbox,https://support.wallbox.com/wp-content/uploads/ht_kb/2024/02/EN_DS_Commander2S_20240201.pdf,Wallbox_Commander2S_datasheet.pdf
Wallbox,eM4 Single-Twin,Chargers\AC Chargers\Wallbox,https://support.wallbox.com/wp-content/uploads/ht_kb/2025/06/Wallbox_Datasheet_eM4_EN_b.pdf,Wallbox_eM4_SingleTwin_datasheet.pdf
Wallbox,Quasar 2 (NA datasheet),Chargers\DC Chargers\Wallbox,https://support.wallbox.com/wp-content/uploads/ht_kb/2025/04/Datasheet_QX2NA_EN_0225.pdf,Wallbox_Quasar2_NA_datasheet.pdf
Webasto,Pure (Pure II) 22kW,Chargers\AC Chargers\Webasto,https://charging.webasto.com/fileadmin/webasto__media/charging.webasto.com/EN-UK/brochures/210415_Datasheet_Webasto_PURE_II_22kW_ENG__002_.pdf,Webasto_PureII_22kW_datasheet.pdf
Webasto,Pure (Pure II) 11kW,Chargers\AC Chargers\Webasto,https://charging.webasto.com/fileadmin/webasto__media/charging.webasto.com/INT/Datasheets/210308_Datasheet_Webasto_PURE_II_11kW_ENG_01.pdf,Webasto_PureII_11kW_datasheet.pdf
Webasto,Next,Chargers\AC Chargers\Webasto,https://charging.webasto.com/fileadmin/webasto__media/charging.webasto.com/EN-UK/brochures/Next_download_pdfs/210930_Flyer_Webasto_Next_ENG_VIEW.pdf,Webasto_Next_flyer.pdf
Webasto,Live,Chargers\AC Chargers\Webasto,https://charging.webasto.com/fileadmin/webasto__media/charging.webasto.com/INT/Datasheets/20190507_Datasheet_Webasto_LIVE_ENG_VIEW.pdf,Webasto_Live_datasheet.pdf
Zaptec,Go (original),Chargers\AC Chargers\Zaptec,https://help.zaptec.com/objects/sa-migration-assets/aaffa4be-5f88-4e9a-9a9e-c16298de05c7/6ca5df38770187c2cf11854d4a8e9b9fcf17e0ede3959d14592db330005d02cd.pdf,Zaptec_Go_datasheet.pdf
Zaptec,"Pro (base, non-MID)",Chargers\AC Chargers\Zaptec,https://pimassetsprdst.blob.core.windows.net/assets/apc_Original/94/42/27109442.pdf,Zaptec_Pro_datasheet.pdf
Zaptec,Sense (accessory),Chargers\AC Chargers\Zaptec,https://pimassetsprdst.blob.core.windows.net/assets/apc_Original/31/43/27113143.pdf,Zaptec_Sense_datasheet.pdf
Zaptec,Pro MID,Chargers\AC Chargers\Zaptec,https://help.zaptec.com/objects/sa-migration-assets/aaffa4be-5f88-4e9a-9a9e-c16298de05c7/ccd70e6d9cf1e1e82f836e9b8f8c302a93de65fc579d616b245e61df3a6d3e0b.pdf,Zaptec_ProMID_datasheet_NL.pdf
SMA,EV Charger 7.4-22 (legacy),Chargers\AC Chargers\SMA,https://files.sma.de/downloads/EVC-10-DS-en-10.pdf,SMA_EVCharger_7.4-22_legacy_datasheet.pdf
SMA,eCharger,Chargers\AC Chargers\SMA,https://files.sma.de/downloads/eCharger-DS-en-20.pdf,SMA_eCharger_EVC22-3AC-20_datasheet.pdf
